,Date,volume
0,2009/01/03,null
1,2009/01/04,null
2,2009/01/05,null
3,2009/01/06,null
4,2009/01/07,null
5,2009/01/08,null
6,2009/01/09,null
7,2009/01/10,null
8,2009/01/11,null
9,2009/01/12,7
10,2009/01/13,null
11,2009/01/14,1
12,2009/01/15,8
13,2009/01/16,2
14,2009/01/17,null
15,2009/01/18,1
16,2009/01/19,2
17,2009/01/20,1
18,2009/01/21,1
19,2009/01/22,1
20,2009/01/23,2
21,2009/01/24,1
22,2009/01/25,1
23,2009/01/26,1
24,2009/01/27,1
25,2009/01/28,null
26,2009/01/29,1
27,2009/01/30,null
28,2009/01/31,1
29,2009/02/01,1
30,2009/02/02,1
31,2009/02/03,16
32,2009/02/04,null
33,2009/02/05,null
34,2009/02/06,null
35,2009/02/07,4
36,2009/02/08,1
37,2009/02/09,1
38,2009/02/10,null
39,2009/02/11,2
40,2009/02/12,null
41,2009/02/13,null
42,2009/02/14,null
43,2009/02/15,3
44,2009/02/16,1
45,2009/02/17,null
46,2009/02/18,null
47,2009/02/19,1
48,2009/02/20,null
49,2009/02/21,null
50,2009/02/22,4
51,2009/02/23,null
52,2009/02/24,null
53,2009/02/25,null
54,2009/02/26,null
55,2009/02/27,1
56,2009/02/28,1
57,2009/03/01,null
58,2009/03/02,null
59,2009/03/03,2
60,2009/03/04,2
61,2009/03/05,1
62,2009/03/06,null
63,2009/03/07,null
64,2009/03/08,3
65,2009/03/09,null
66,2009/03/10,null
67,2009/03/11,null
68,2009/03/12,1
69,2009/03/13,1
70,2009/03/14,null
71,2009/03/15,null
72,2009/03/16,1
73,2009/03/17,null
74,2009/03/18,2
75,2009/03/19,null
76,2009/03/20,1
77,2009/03/21,null
78,2009/03/22,2
79,2009/03/23,null
80,2009/03/24,null
81,2009/03/25,null
82,2009/03/26,1
83,2009/03/27,null
84,2009/03/28,3
85,2009/03/29,null
86,2009/03/30,null
87,2009/03/31,1
88,2009/04/01,null
89,2009/04/02,null
90,2009/04/03,null
91,2009/04/04,null
92,2009/04/05,2
93,2009/04/06,null
94,2009/04/07,null
95,2009/04/08,null
96,2009/04/09,null
97,2009/04/10,null
98,2009/04/11,1
99,2009/04/12,2
100,2009/04/13,1
101,2009/04/14,null
102,2009/04/15,null
103,2009/04/16,null
104,2009/04/17,null
105,2009/04/18,4
106,2009/04/19,1
107,2009/04/20,2
108,2009/04/21,1
109,2009/04/22,null
110,2009/04/23,null
111,2009/04/24,null
112,2009/04/25,null
113,2009/04/26,2
114,2009/04/27,null
115,2009/04/28,null
116,2009/04/29,1
117,2009/04/30,null
118,2009/05/01,null
119,2009/05/02,2
120,2009/05/03,3
121,2009/05/04,1
122,2009/05/05,1
123,2009/05/06,null
124,2009/05/07,null
125,2009/05/08,null
126,2009/05/09,null
127,2009/05/10,null
128,2009/05/11,1
129,2009/05/12,null
130,2009/05/13,5
131,2009/05/14,3
132,2009/05/15,1
133,2009/05/16,null
134,2009/05/17,null
135,2009/05/18,null
136,2009/05/19,null
137,2009/05/20,null
138,2009/05/21,null
139,2009/05/22,null
140,2009/05/23,null
141,2009/05/24,null
142,2009/05/25,null
143,2009/05/26,null
144,2009/05/27,null
145,2009/05/28,null
146,2009/05/29,1
147,2009/05/30,null
148,2009/05/31,null
149,2009/06/01,1
150,2009/06/02,null
151,2009/06/03,null
152,2009/06/04,null
153,2009/06/05,null
154,2009/06/06,null
155,2009/06/07,null
156,2009/06/08,null
157,2009/06/09,null
158,2009/06/10,null
159,2009/06/11,null
160,2009/06/12,null
161,2009/06/13,null
162,2009/06/14,null
163,2009/06/15,null
164,2009/06/16,null
165,2009/06/17,null
166,2009/06/18,null
167,2009/06/19,null
168,2009/06/20,null
169,2009/06/21,null
170,2009/06/22,1
171,2009/06/23,null
172,2009/06/24,2
173,2009/06/25,1
174,2009/06/26,null
175,2009/06/27,null
176,2009/06/28,1
177,2009/06/29,1
178,2009/06/30,1
179,2009/07/01,1
180,2009/07/02,1
181,2009/07/03,null
182,2009/07/04,null
183,2009/07/05,null
184,2009/07/06,null
185,2009/07/07,null
186,2009/07/08,null
187,2009/07/09,null
188,2009/07/10,null
189,2009/07/11,null
190,2009/07/12,null
191,2009/07/13,null
192,2009/07/14,null
193,2009/07/15,null
194,2009/07/16,null
195,2009/07/17,null
196,2009/07/18,null
197,2009/07/19,null
198,2009/07/20,1
199,2009/07/21,null
200,2009/07/22,null
201,2009/07/23,null
202,2009/07/24,null
203,2009/07/25,null
204,2009/07/26,null
205,2009/07/27,null
206,2009/07/28,null
207,2009/07/29,1
208,2009/07/30,1
209,2009/07/31,null
210,2009/08/01,null
211,2009/08/02,null
212,2009/08/03,null
213,2009/08/04,null
214,2009/08/05,null
215,2009/08/06,null
216,2009/08/07,1
217,2009/08/08,null
218,2009/08/09,null
219,2009/08/10,null
220,2009/08/11,null
221,2009/08/12,null
222,2009/08/13,null
223,2009/08/14,null
224,2009/08/15,null
225,2009/08/16,null
226,2009/08/17,null
227,2009/08/18,null
228,2009/08/19,null
229,2009/08/20,null
230,2009/08/21,null
231,2009/08/22,null
232,2009/08/23,null
233,2009/08/24,null
234,2009/08/25,null
235,2009/08/26,3
236,2009/08/27,null
237,2009/08/28,null
238,2009/08/29,null
239,2009/08/30,1
240,2009/08/31,1
241,2009/09/01,null
242,2009/09/02,null
243,2009/09/03,1
244,2009/09/04,null
245,2009/09/05,null
246,2009/09/06,null
247,2009/09/07,1
248,2009/09/08,null
249,2009/09/09,null
250,2009/09/10,null
251,2009/09/11,null
252,2009/09/12,null
253,2009/09/13,null
254,2009/09/14,null
255,2009/09/15,null
256,2009/09/16,1
257,2009/09/17,1
258,2009/09/18,null
259,2009/09/19,null
260,2009/09/20,null
261,2009/09/21,1
262,2009/09/22,1
263,2009/09/23,null
264,2009/09/24,null
265,2009/09/25,2
266,2009/09/26,null
267,2009/09/27,1
268,2009/09/28,null
269,2009/09/29,2
270,2009/09/30,null
271,2009/10/01,null
272,2009/10/02,1
273,2009/10/03,null
274,2009/10/04,null
275,2009/10/05,null
276,2009/10/06,2
277,2009/10/07,null
278,2009/10/08,null
279,2009/10/09,null
280,2009/10/10,null
281,2009/10/11,null
282,2009/10/12,1
283,2009/10/13,null
284,2009/10/14,null
285,2009/10/15,null
286,2009/10/16,1
287,2009/10/17,null
288,2009/10/18,1
289,2009/10/19,null
290,2009/10/20,1
291,2009/10/21,1
292,2009/10/22,1
293,2009/10/23,null
294,2009/10/24,1
295,2009/10/25,null
296,2009/10/26,null
297,2009/10/27,1
298,2009/10/28,null
299,2009/10/29,2
300,2009/10/30,null
301,2009/10/31,null
302,2009/11/01,null
303,2009/11/02,null
304,2009/11/03,null
305,2009/11/04,1
306,2009/11/05,null
307,2009/11/06,null
308,2009/11/07,null
309,2009/11/08,null
310,2009/11/09,null
311,2009/11/10,null
312,2009/11/11,9
313,2009/11/12,null
314,2009/11/13,3
315,2009/11/14,null
316,2009/11/15,null
317,2009/11/16,null
318,2009/11/17,null
319,2009/11/18,null
320,2009/11/19,2
321,2009/11/20,null
322,2009/11/21,null
323,2009/11/22,null
324,2009/11/23,null
325,2009/11/24,null
326,2009/11/25,null
327,2009/11/26,null
328,2009/11/27,null
329,2009/11/28,null
330,2009/11/29,null
331,2009/11/30,null
332,2009/12/01,1
333,2009/12/02,null
334,2009/12/03,null
335,2009/12/04,null
336,2009/12/05,1
337,2009/12/06,2
338,2009/12/07,null
339,2009/12/08,2
340,2009/12/09,13
341,2009/12/10,null
342,2009/12/11,null
343,2009/12/12,2
344,2009/12/13,null
345,2009/12/14,5
346,2009/12/15,2
347,2009/12/16,1
348,2009/12/17,3
349,2009/12/18,null
350,2009/12/19,1
351,2009/12/20,null
352,2009/12/21,1
353,2009/12/22,null
354,2009/12/23,null
355,2009/12/24,null
356,2009/12/25,1
357,2009/12/26,null
358,2009/12/27,1
359,2009/12/28,null
360,2009/12/29,null
361,2009/12/30,null
362,2009/12/31,null
363,2010/01/01,2
364,2010/01/02,null
365,2010/01/03,null
366,2010/01/04,2
367,2010/01/05,null
368,2010/01/06,null
369,2010/01/07,null
370,2010/01/08,null
371,2010/01/09,null
372,2010/01/10,null
373,2010/01/11,null
374,2010/01/12,2
375,2010/01/13,2
376,2010/01/14,2
377,2010/01/15,1
378,2010/01/16,1
379,2010/01/17,null
380,2010/01/18,1
381,2010/01/19,null
382,2010/01/20,null
383,2010/01/21,9
384,2010/01/22,3
385,2010/01/23,2
386,2010/01/24,1
387,2010/01/25,4
388,2010/01/26,6
389,2010/01/27,2
390,2010/01/28,2
391,2010/01/29,4
392,2010/01/30,4
393,2010/01/31,2
394,2010/02/01,9
395,2010/02/02,1
396,2010/02/03,2
397,2010/02/04,5
398,2010/02/05,4
399,2010/02/06,14
400,2010/02/07,5
401,2010/02/08,8
402,2010/02/09,3
403,2010/02/10,5
404,2010/02/11,5
405,2010/02/12,5
406,2010/02/13,3
407,2010/02/14,11
408,2010/02/15,9
409,2010/02/16,6
410,2010/02/17,11
411,2010/02/18,7
412,2010/02/19,3
413,2010/02/20,2
414,2010/02/21,4
415,2010/02/22,5
416,2010/02/23,1
417,2010/02/24,6
418,2010/02/25,4
419,2010/02/26,4
420,2010/02/27,3
421,2010/02/28,3
422,2010/03/01,4
423,2010/03/02,5
424,2010/03/03,6
425,2010/03/04,3
426,2010/03/05,2
427,2010/03/06,6
428,2010/03/07,4
429,2010/03/08,5
430,2010/03/09,2
431,2010/03/10,7
432,2010/03/11,3
433,2010/03/12,2
434,2010/03/13,1
435,2010/03/14,2
436,2010/03/15,5
437,2010/03/16,3
438,2010/03/17,3
439,2010/03/18,9
440,2010/03/19,9
441,2010/03/20,12
442,2010/03/21,7
443,2010/03/22,7
444,2010/03/23,13
445,2010/03/24,11
446,2010/03/25,15
447,2010/03/26,16
448,2010/03/27,6
449,2010/03/28,6
450,2010/03/29,12
451,2010/03/30,6
452,2010/03/31,5
453,2010/04/01,11
454,2010/04/02,5
455,2010/04/03,5
456,2010/04/04,12
457,2010/04/05,28
458,2010/04/06,15
459,2010/04/07,11
460,2010/04/08,12
461,2010/04/09,35
462,2010/04/10,38
463,2010/04/11,42
464,2010/04/12,44
465,2010/04/13,20
466,2010/04/14,43
467,2010/04/15,74
468,2010/04/16,32
469,2010/04/17,29
470,2010/04/18,3106
471,2010/04/19,44
472,2010/04/20,38
473,2010/04/21,32
474,2010/04/22,40
475,2010/04/23,50
476,2010/04/24,34
477,2010/04/25,47
478,2010/04/26,47
479,2010/04/27,53
480,2010/04/28,47
481,2010/04/29,33
482,2010/04/30,26
483,2010/05/01,27
484,2010/05/02,25
485,2010/05/03,29
486,2010/05/04,41
487,2010/05/05,25
488,2010/05/06,28
489,2010/05/07,26
490,2010/05/08,28
491,2010/05/09,40
492,2010/05/10,29
493,2010/05/11,19
494,2010/05/12,32
495,2010/05/13,39
496,2010/05/14,30
497,2010/05/15,22
498,2010/05/16,20
499,2010/05/17,35
500,2010/05/18,55
501,2010/05/19,43
502,2010/05/20,34
503,2010/05/21,59
504,2010/05/22,31
505,2010/05/23,98
506,2010/05/24,62
507,2010/05/25,44
508,2010/05/26,64
509,2010/05/27,75
510,2010/05/28,54
511,2010/05/29,55
512,2010/05/30,51
513,2010/05/31,52
514,2010/06/01,48
515,2010/06/02,47
516,2010/06/03,83
517,2010/06/04,48
518,2010/06/05,45
519,2010/06/06,52
520,2010/06/07,52
521,2010/06/08,63
522,2010/06/09,52
523,2010/06/10,57
524,2010/06/11,79
525,2010/06/12,78
526,2010/06/13,67
527,2010/06/14,96
528,2010/06/15,85
529,2010/06/16,50
530,2010/06/17,58
531,2010/06/18,43
532,2010/06/19,64
533,2010/06/20,43
534,2010/06/21,88
535,2010/06/22,71
536,2010/06/23,70
537,2010/06/24,71
538,2010/06/25,60
539,2010/06/26,42
540,2010/06/27,56
541,2010/06/28,78
542,2010/06/29,95
543,2010/06/30,91
544,2010/07/01,73
545,2010/07/02,74
546,2010/07/03,74
547,2010/07/04,58
548,2010/07/05,73
549,2010/07/06,39
550,2010/07/07,62
551,2010/07/08,72
552,2010/07/09,69
553,2010/07/10,42
554,2010/07/11,174
555,2010/07/12,1641
556,2010/07/13,787
557,2010/07/14,5554
558,2010/07/15,706
559,2010/07/16,676
560,2010/07/17,235
561,2010/07/18,248
562,2010/07/19,354
563,2010/07/20,413
564,2010/07/21,256
565,2010/07/22,221
566,2010/07/23,217
567,2010/07/24,705
568,2010/07/25,1592
569,2010/07/26,224
570,2010/07/27,260
571,2010/07/28,1792
572,2010/07/29,1687
573,2010/07/30,143
574,2010/07/31,92
575,2010/08/01,125
576,2010/08/02,156
577,2010/08/03,421
578,2010/08/04,196
579,2010/08/05,297
580,2010/08/06,212
581,2010/08/07,118
582,2010/08/08,192
583,2010/08/09,234
584,2010/08/10,149
585,2010/08/11,179
586,2010/08/12,175
587,2010/08/13,301
588,2010/08/14,153
589,2010/08/15,108
590,2010/08/16,306
591,2010/08/17,189
592,2010/08/18,244
593,2010/08/19,190
594,2010/08/20,230
595,2010/08/21,169
596,2010/08/22,154
597,2010/08/23,156
598,2010/08/24,164
599,2010/08/25,149
600,2010/08/26,158
601,2010/08/27,123
602,2010/08/28,169
603,2010/08/29,98
604,2010/08/30,180
605,2010/08/31,257
606,2010/09/01,223
607,2010/09/02,165
608,2010/09/03,155
609,2010/09/04,93
610,2010/09/05,146
611,2010/09/06,120
612,2010/09/07,122
613,2010/09/08,174
614,2010/09/09,189
615,2010/09/10,183
616,2010/09/11,145
617,2010/09/12,202
618,2010/09/13,265
619,2010/09/14,221
620,2010/09/15,261
621,2010/09/16,219
622,2010/09/17,153
623,2010/09/18,162
624,2010/09/19,146
625,2010/09/20,262
626,2010/09/21,638
627,2010/09/22,499
628,2010/09/23,421
629,2010/09/24,273
630,2010/09/25,325
631,2010/09/26,195
632,2010/09/27,374
633,2010/09/28,279
634,2010/09/29,811
635,2010/09/30,219
636,2010/10/01,430
637,2010/10/02,401
638,2010/10/03,255
639,2010/10/04,254
640,2010/10/05,245
641,2010/10/06,236
642,2010/10/07,180
643,2010/10/08,209
644,2010/10/09,243
645,2010/10/10,185
646,2010/10/11,183
647,2010/10/12,197
648,2010/10/13,188
649,2010/10/14,162
650,2010/10/15,151
651,2010/10/16,183
652,2010/10/17,187
653,2010/10/18,330
654,2010/10/19,668
655,2010/10/20,449
656,2010/10/21,366
657,2010/10/22,448
658,2010/10/23,342
659,2010/10/24,347
660,2010/10/25,207
661,2010/10/26,277
662,2010/10/27,355
663,2010/10/28,267
664,2010/10/29,244
665,2010/10/30,174
666,2010/10/31,128
667,2010/11/01,174
668,2010/11/02,110
669,2010/11/03,157
670,2010/11/04,141
671,2010/11/05,223
672,2010/11/06,176
673,2010/11/07,210
674,2010/11/08,240
675,2010/11/09,192
676,2010/11/10,194
677,2010/11/11,176
678,2010/11/12,117
679,2010/11/13,120
680,2010/11/14,160
681,2010/11/15,4671
682,2010/11/16,8908
683,2010/11/17,188
684,2010/11/18,1237
685,2010/11/19,9482
686,2010/11/20,9615
687,2010/11/21,9904
688,2010/11/22,180
689,2010/11/23,201
690,2010/11/24,3759
691,2010/11/25,4802
692,2010/11/26,1120
693,2010/11/27,265
694,2010/11/28,282
695,2010/11/29,245
696,2010/11/30,252
697,2010/12/01,324
698,2010/12/02,272
699,2010/12/03,195
700,2010/12/04,189
701,2010/12/05,195
702,2010/12/06,224
703,2010/12/07,334
704,2010/12/08,285
705,2010/12/09,263
706,2010/12/10,226
707,2010/12/11,375
708,2010/12/12,472
709,2010/12/13,505
710,2010/12/14,482
711,2010/12/15,446
712,2010/12/16,358
713,2010/12/17,296
714,2010/12/18,338
715,2010/12/19,367
716,2010/12/20,773
717,2010/12/21,434
718,2010/12/22,502
719,2010/12/23,374
720,2010/12/24,383
721,2010/12/25,466
722,2010/12/26,439
723,2010/12/27,360
724,2010/12/28,492
725,2010/12/29,348
726,2010/12/30,424
727,2010/12/31,393
728,2011/01/01,478
729,2011/01/02,394
730,2011/01/03,972
731,2011/01/04,838
732,2011/01/05,1156
733,2011/01/06,553
734,2011/01/07,856
735,2011/01/08,1266
736,2011/01/09,1060
737,2011/01/10,1150
738,2011/01/11,1190
739,2011/01/12,995
740,2011/01/13,1078
741,2011/01/14,1081
742,2011/01/15,805
743,2011/01/16,757
744,2011/01/17,649
745,2011/01/18,677
746,2011/01/19,748
747,2011/01/20,738
748,2011/01/21,992
749,2011/01/22,1257
750,2011/01/23,911
751,2011/01/24,1131
752,2011/01/25,733
753,2011/01/26,825
754,2011/01/27,681
755,2011/01/28,923
756,2011/01/29,1186
757,2011/01/30,2436
758,2011/01/31,1223
759,2011/02/01,849
760,2011/02/02,738
761,2011/02/03,629
762,2011/02/04,760
763,2011/02/05,653
764,2011/02/06,732
765,2011/02/07,689
766,2011/02/08,678
767,2011/02/09,1035
768,2011/02/10,1848
769,2011/02/11,2169
770,2011/02/12,1716
771,2011/02/13,1624
772,2011/02/14,1810
773,2011/02/15,1999
774,2011/02/16,1858
775,2011/02/17,2019
776,2011/02/18,1844
777,2011/02/19,1422
778,2011/02/20,1741
779,2011/02/21,1776
780,2011/02/22,1985
781,2011/02/23,2020
782,2011/02/24,1902
783,2011/02/25,1835
784,2011/02/26,1676
785,2011/02/27,2025
786,2011/02/28,1570
787,2011/03/01,2599
788,2011/03/02,1841
789,2011/03/03,3018
790,2011/03/04,1761
791,2011/03/05,1771
792,2011/03/06,1757
793,2011/03/07,1715
794,2011/03/08,2253
795,2011/03/09,1674
796,2011/03/10,1551
797,2011/03/11,1754
798,2011/03/12,2816
799,2011/03/13,2594
